,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
0,hithadhoo,83.23,83.23,80,94,17.09,-0.6,73.08,MV,1575677661
1,nanortalik,29.5,29.5,85,100,7.36,60.14,-45.24,GL,1575677659
2,bredasdorp,60.8,60.8,87,96,5.99,-34.53,20.04,ZA,1575677516
3,tsabong,63.73,63.73,91,100,11.41,-26.02,22.4,BW,1575677782
4,isangel,86,86,70,75,9.17,-19.55,169.27,VU,1575677783
5,jamestown,73.67,73.67,27,0,8.03,-33.21,138.6,AU,1575677666
6,mataura,63.14,63.14,48,50,16.44,-46.19,168.86,NZ,1575677784
7,raton,41.4,44.6,69,1,6.93,36.9,-104.44,US,1575677784
8,kapaa,79.81,80.6,74,40,12.75,22.08,-159.32,US,1575677502
9,avera,52.5,55,87,90,5.82,33.19,-82.53,US,1575677696
10,eskisehir,18.5,19.4,92,0,4.7,39.78,30.52,TR,1575677786
11,caxambu,65.07,65.07,96,83,2.82,-21.98,-44.93,BR,1575677787
12,ushuaia,48.2,48.2,66,40,40.26,-54.81,-68.31,AR,1575677788
13,vestmannaeyjar,34.81,34.81,59,91,10.49,63.44,-20.27,IS,1575677661
14,bur gabo,32.11,34,100,20,6.93,63.56,22.87,FI,1575677789
15,rikitea,74.88,74.88,80,100,17.47,-23.12,-134.97,PF,1575677650
16,bubaque,78.21,78.21,67,18,18.39,11.28,-15.83,GW,1575677790
17,labuhan,79.81,79.81,80,100,1.14,-2.54,115.51,ID,1575677791
18,mount isa,47.08,48.99,93,20,26.4,53.66,-1.85,GB,1575677612
19,khatanga,0.97,0.97,96,100,3.85,71.98,102.47,RU,1575677792
20,nambour,96.26,102.99,38,1,1.99,-26.63,152.96,AU,1575677793
21,esperance,77,77,47,100,5.82,-33.86,121.89,AU,1575677793
22,hobart,55.15,57.99,54,75,20.8,-42.88,147.33,AU,1575677794
23,gat,68,68,72,79,13.87,14.69,-16.54,SN,1575677794
24,robertsport,83.05,83.05,76,6,10.83,6.75,-11.37,LR,1575677795
25,new norfolk,77,77,94,40,2.59,6.65,-10.59,LR,1575677796
26,kahului,74.98,80.6,61,40,19.46,20.89,-156.47,US,1575677796
27,cape town,78.8,78.8,29,0,6.93,-36.41,-71.9,CL,1575677797
28,punta arenas,79.2,80.01,83,20,9.17,14.18,121.12,PH,1575677798
29,sonoita,64.96,71.6,44,20,6.93,31.68,-110.66,US,1575677798
30,kodiak,32.27,35.01,68,1,5.82,39.95,-94.76,US,1575677799
32,forst,35.26,41,83,100,3,50.36,11.89,DE,1575677800
33,clyde river,63.91,66,39,12,5.01,-45.19,169.32,NZ,1575677801
34,butaritari,82.62,82.62,68,59,3.65,3.07,172.79,KI,1575677802
35,tupelo,52.18,53.6,87,90,8.05,34.26,-88.7,US,1575677802
36,busselton,71.29,72,57,92,14.47,-33.64,115.35,AU,1575677525
37,lucapa,67.01,67.01,97,100,4.27,-8.42,20.74,AO,1575677804
38,port alfred,77.11,77.11,65,100,6.6,-7.04,29.76,CD,1575677805
39,bud,35.22,39.2,80,100,9.17,62.91,6.91,NO,1575677805
42,vaini,64.08,64.08,93,56,9.73,15.34,74.49,IN,1575677648
43,ribeira grande,48.63,52,100,52,2.24,41.76,-8.56,PT,1575677808
44,bathsheba,80.6,80.6,74,40,18.34,13.22,-59.52,BB,1575677809
45,botngard,37.26,42.01,93,75,16.11,63.77,9.81,NO,1575677809
47,poso,74.48,74.48,70,100,1.63,-1.4,120.75,ID,1575677811
48,luwuk,81.75,81.75,75,69,1.88,-0.95,122.79,ID,1575677811
49,saldanha,41.43,41.43,89,36,1.36,41.42,-6.55,PT,1575677812
50,okhotsk,-5.58,-5.58,70,100,18.32,59.36,143.24,RU,1575677812
51,formoso do araguaia,72.95,72.95,73,100,4.65,-14.95,-46.23,BR,1575677813
52,shebunino,35.6,35.6,74,90,11.18,57.66,40.04,RU,1575677814
53,vyartsilya,36.23,36.23,97,100,5.41,62.18,30.69,RU,1575677814
54,sola,68.04,68.04,81,100,2.06,-3.17,33.8,TZ,1575677651
55,hermanus,63,63,86,0,18.3,-34.42,19.24,ZA,1575677815
56,palmer,65.61,69.01,55,20,11.41,-34.85,139.16,AU,1575677691
57,deputatskiy,-24,-24,100,97,1.12,69.3,139.9,RU,1575677817
58,sayyan,45.18,45.18,50,3,0.94,15.17,44.32,YE,1575677817
60,wynyard,64,64,47,85,21,-40.99,145.73,AU,1575677819
61,marzuq,57.25,57.25,46,0,1.45,14.4,46.47,YE,1575677819
62,llanes,47.98,52,99,49,8.59,43.42,-4.75,ES,1575677820
63,atambua,85.64,85.64,61,61,1.05,-9.11,124.89,ID,1575677820
64,yellowknife,-7.49,-7.01,83,75,6.93,62.45,-114.38,CA,1575677541
66,dryden,6.8,6.8,92,75,9.17,49.79,-92.84,CA,1575677822
67,sambava,72.43,72.43,87,22,2.3,-14.27,50.17,MG,1575677823
68,katol,60.8,60.8,72,20,2.24,21.28,78.59,IN,1575677824
69,ondjiva,73.27,73.27,64,73,4.74,-17.07,15.73,AO,1575677688
70,narasannapeta,63.82,63.82,71,67,5.91,18.42,84.04,IN,1575677825
71,namibe,71.94,71.94,79,90,7.56,-15.19,12.15,AO,1575677825
72,carutapera,81.59,81.59,79,1,16.6,-1.2,-46.02,BR,1575677826
73,cidreira,70.43,70.43,76,0,10,-30.17,-50.22,BR,1575677827
74,airai,81.72,81.72,35,79,3.87,-8.93,125.41,TL,1575677606
75,tateyama,39.31,41,64,75,3.36,36.66,137.31,JP,1575677828
76,dubbo,82.4,82.4,12,5,9.17,-32.25,148.6,AU,1575677612
77,saskylakh,-9.44,-9.44,92,100,24.9,71.97,114.09,RU,1575677829
79,pacific grove,49.55,53.01,100,75,4.88,47.26,-122.25,US,1575677830
80,kushima,42.15,46.4,81,75,8.05,31.5,131.29,JP,1575677831
82,atar,60.84,60.84,44,2,7.7,20.52,-13.05,MR,1575677832
83,shaunavon,22.28,22.28,93,79,6.29,49.65,-108.41,CA,1575677833
84,nizhniy odes,28.56,33.01,92,0,2.24,45.39,39.24,RU,1575677834
85,tuktoyaktuk,6.8,6.8,77,90,5.82,69.44,-133.03,CA,1575677834
86,severo-kurilsk,21.65,21.65,85,93,29.57,50.68,156.12,RU,1575677835
87,carnarvon,60.49,60.49,40,53,2.59,-30.97,22.13,ZA,1575677676
89,albany,29.61,36,86,90,4.7,42.65,-73.75,US,1575677837
90,fairbanks,-15.48,-6,74,1,3.78,64.84,-147.72,US,1575677660
91,paramonga,65.34,65.34,94,100,11.05,-10.68,-77.82,PE,1575677838
92,mahebourg,74.39,75,94,20,5.82,-20.41,57.7,MU,1575677839
93,avarua,80.6,80.6,65,61,16.11,-21.21,-159.78,CK,1575677585
94,lasa,51.01,51.8,71,0,9.17,34.92,32.53,CY,1575677840
96,kaka,39.13,39.13,89,67,5.7,37.35,59.62,TM,1575677841
97,san patricio,76.57,76.57,12,22,8.79,13.3,-4.9,ML,1575677702
98,lorengau,84,84,70,76,5.77,-2.02,147.27,PG,1575677842
99,makakilo city,77,80.6,83,90,5.82,21.35,-158.09,US,1575677843
101,zhangye,21.92,21.92,31,71,0.49,38.94,100.46,CN,1575677844
103,antofagasta,64.4,64.4,72,20,13.87,-23.65,-70.4,CL,1575677845
104,tiksi,-26.84,-26.84,98,93,4.43,71.64,128.87,RU,1575677656
105,baghdad,55.4,55.4,93,90,8.05,33.3,44.38,IQ,1575677847
106,pochutla,77.41,82,78,20,6.04,15.74,-96.47,MX,1575677847
107,namtsy,-40,-40,65,49,2.24,62.72,129.66,RU,1575677848
108,manzanillo,86,86,79,75,2.86,19.05,-104.32,MX,1575677736
109,arman,5.74,5.74,89,21,18.19,59.7,150.17,RU,1575677695
110,saint-philippe,22.8,25,73,90,10.29,45.36,-73.48,CA,1575677850
111,vanavara,15.67,15.67,96,100,4.92,60.35,102.28,RU,1575677850
112,tasiilaq,24.8,24.8,68,90,6.93,65.61,-37.64,GL,1575677851
113,constitucion,77,77,11,5,6.93,23.99,-104.67,MX,1575677642
115,russell,35.55,37.99,55,1,5.82,38.9,-98.86,US,1575677853
116,goya,70.47,70.47,44,0,7.23,-29.14,-59.27,AR,1575677854
117,rocha,53.58,53.58,80,8,6.82,-34.48,-54.34,UY,1575677606
118,linares,66.7,66.7,40,52,2.84,-35.85,-71.6,CL,1575677855
119,phan rang,48.2,48.2,100,0,2.24,19.55,99.74,TH,1575677855
120,najran,57.2,57.2,47,0,1.9,17.54,44.22,SA,1575677856
121,narsaq,33.8,33.8,31,89,29.97,60.91,-46.05,GL,1575677858
122,khani,30.2,30.2,92,0,3.36,41.96,42.96,GE,1575677858
123,sobolevo,30.81,30.81,81,90,12.33,54.43,31.9,RU,1575677859
124,poum,42.78,42.78,96,100,5.19,41.28,20.71,MK,1575677860
125,ust-maya,-41.58,-41.58,94,98,2.3,60.42,134.54,RU,1575677860
126,port elizabeth,77.11,77.11,65,100,6.6,-7.04,29.76,CD,1575677861
127,pangnirtung,-2.2,-2.2,77,90,2.24,66.15,-65.72,CA,1575677861
128,geraldton,-0.4,-0.4,84,20,3.36,49.72,-86.95,CA,1575677862
129,bafoulabe,74.55,74.55,20,95,7.02,13.81,-10.83,ML,1575677863
130,havre-saint-pierre,21.2,21.2,85,90,11.41,50.23,-63.6,CA,1575677863
131,lewistown,31.8,35.01,80,1,5.3,40.39,-90.15,US,1575677864
132,auki,70.79,70.79,24,19,9.73,12.18,6.51,NG,1575677865
133,chuy,61.36,61.36,56,4,11.23,-33.69,-53.46,UY,1575677866
134,hasaki,40.6,42.8,93,75,5.82,35.73,140.83,JP,1575677683
135,ayan,23.79,23.79,97,100,2.77,38.23,44.7,IR,1575677867
137,barrow,50.34,50.34,74,0,7.34,-38.31,-60.23,AR,1575677594
138,upernavik,10.54,10.54,55,100,11.01,72.79,-56.15,GL,1575677672
139,kaduqli,74.34,74.34,24,0,15.7,11.01,29.72,SD,1575677869
140,nuevo progreso,77,77,50,0,6.11,-27.5,-58.79,AR,1575677870
142,santona,48.22,52,81,20,8.05,43.44,-3.46,ES,1575677871
143,yar-sale,-0.76,-0.76,97,93,3.53,66.83,70.83,RU,1575677654
144,waddan,60.04,60.04,43,77,8.03,29.16,16.14,LY,1575677873
145,puerto ayora,57.2,57.2,47,40,33.33,-51.62,-69.23,AR,1575677873
146,mar del plata,11.71,11.71,18,10,3.42,29.86,90.73,CN,1575677874
147,kununurra,86,86,79,40,3.36,-15.77,128.74,AU,1575677874
148,puerto escondido,57.2,57.2,47,40,33.33,-51.62,-69.23,AR,1575677875
149,tuatapere,56.95,56.95,57,51,9.04,-46.13,167.69,NZ,1575677876
150,brae,42.01,42.8,75,58,18.34,60.4,-1.35,GB,1575677876
151,nikolskoye,42.21,43,87,90,8.95,59.7,30.79,RU,1575677877
152,mys shmidta,31.17,31.17,93,100,5.64,62.06,48.62,RU,1575677878
153,biloela,91.33,91.33,35,0,13.44,-24.4,150.51,AU,1575677878
154,katsuura,43.5,45,75,75,9.17,33.93,134.5,JP,1575677879
155,longyearbyen,6.8,6.8,55,20,28.86,78.22,15.63,NO,1575677880
157,bluff,91.72,91.72,33,0,12.5,-23.58,149.07,AU,1575677652
158,mapimi,78.8,78.8,22,5,7.34,25.82,-103.85,MX,1575677882
159,hilo,67.26,71.6,83,90,2.93,19.71,-155.08,US,1575677882
160,loandjili,78.8,78.8,94,20,3.36,-4.77,11.87,CG,1575677883
161,lovozero,13.51,13.51,96,90,3.83,68.01,35.02,RU,1575677884
162,ilulissat,6.8,6.8,38,19,9.17,69.22,-51.1,GL,1575677884
163,pevek,-9.6,-9.6,98,64,2.42,69.7,170.27,RU,1575677885
164,llangefni,48.16,50,87,48,17.22,53.26,-4.31,GB,1575677885
165,prince albert,17.76,21.99,92,40,6.93,52.97,-108.38,CA,1575677886
166,djibo,73.29,73.29,13,70,7.63,14.1,-1.63,BF,1575677887
167,mount gambier,47.08,48.99,87,20,20.8,53.66,-1.85,GB,1575677887
168,ponta do sol,77.2,77.2,86,57,0.94,-0.53,-65.05,BR,1575677891
169,chara,44.6,44.6,93,75,0.87,39.42,22.43,GR,1575677892
170,zvishavane,66.96,66.96,75,84,4.61,-20.32,30.05,ZW,1575677892
171,east london,72.77,72.77,72,43,1.1,3.43,31.7,UG,1575677893
172,gizo,55.02,57.99,76,40,3.36,31.8,34.94,IL,1575677893
173,san cristobal,76.57,76.57,12,22,8.79,13.3,-4.9,ML,1575677894
174,padang,67.78,67.78,98,92,3.18,-0.92,100.36,ID,1575677664
175,puerto palomas,57.2,57.2,47,40,33.33,-51.62,-69.23,AR,1575677895
176,dikson,-6.12,-6.12,94,100,13.44,73.51,80.55,RU,1575677651
177,iralaya,82.4,82.4,78,40,11.41,15,-83.23,HN,1575677897
178,iqaluit,-14.35,-14.01,68,20,11.41,63.75,-68.52,CA,1575677899
179,progreso,63.86,66,59,0,9.17,-34.68,-56.22,UY,1575677899
180,palmares do sul,73.99,73.99,91,45,7.58,-8.68,-35.59,BR,1575677900
181,beroroha,73.62,73.62,84,0,5.53,-21.68,45.17,MG,1575677901
182,lebu,48.51,48.51,81,65,3.06,8.96,38.73,ET,1575677901
183,torbay,33.73,35.01,87,90,14.99,47.66,-52.73,CA,1575677679
184,copiapo,60.8,60.8,77,75,10.29,-27.37,-70.33,CL,1575677903
185,chulman,-22.56,-22.56,96,100,2.55,56.84,124.9,RU,1575677903
186,georgetown,79.61,80.6,83,40,6.93,6.8,-58.16,GY,1575677904
187,grand river south east,45.43,48.2,93,90,14.99,48.39,5.49,FR,1575677905
188,atuona,80.62,80.62,74,0,16.02,-9.8,-139.03,PF,1575677905
189,castro,57.2,57.2,67,75,9.17,-42.48,-73.76,CL,1575677906
191,seredeyskiy,28.76,28.76,80,30,11.81,54.05,35.23,RU,1575677907
192,sorong,86.56,86.56,67,87,1.5,-0.86,131.25,ID,1575677908
193,praia,73.4,73.4,83,75,3.36,-20.25,-43.81,BR,1575677908
194,luena,62.49,62.49,94,100,4.07,-11.78,19.91,AO,1575677909
195,saint-georges,17.02,19.99,33,98,2.68,46.12,-70.67,CA,1575677616
196,cockburn town,66.2,66.2,42,0,6.93,-32.08,141,AU,1575677910
199,huarmey,66.16,66.16,81,99,3.53,-10.07,-78.15,PE,1575677912
201,tazovskiy,-0.09,-0.09,95,89,11.14,67.47,78.7,RU,1575677914
202,yulara,89.6,89.6,8,0,8.05,-25.24,130.99,AU,1575677914
203,iskateley,-7.11,-7.11,100,35,3,67.68,53.15,RU,1575677915
204,poltavka,33.48,33.48,97,100,20.31,54.36,71.76,RU,1575677916
205,fortuna,53.56,55.4,93,75,21.92,40.6,-124.16,US,1575677916
206,cayenne,78.8,78.8,83,20,5.82,4.94,-52.33,GF,1575677681
207,acapulco,84.2,84.2,66,40,2.24,16.86,-99.88,MX,1575677775
208,yakymivka,38.1,38.1,86,0,6.87,46.7,35.16,UA,1575677918
209,nokaneng,72.95,72.95,68,40,4.25,-19.66,22.19,BW,1575677919
210,martin,46.45,48.99,81,1,17.22,36.34,-88.85,US,1575677919
211,medvedka,33.85,33.85,97,100,9.62,61.17,46.39,RU,1575677920
212,leh,-1.03,-1.03,33,0,2.73,34.16,77.58,IN,1575677920
213,kautokeino,10.35,10.35,96,94,4.32,69.01,23.04,NO,1575677921
214,port shepstone,77.11,77.11,65,100,6.6,-7.04,29.76,CD,1575677922
215,hirara,60.8,60.8,93,75,26.4,24.8,125.28,JP,1575677922
216,ihosy,64.96,64.96,95,82,6.17,-22.4,46.13,MG,1575677923
217,arraial do cabo,68.79,71.01,83,75,10.29,-22.84,-46.65,BR,1575677923
218,ginir,55.27,55.27,62,16,9.35,7.14,40.71,ET,1575677924
220,rangpo,50.88,50.88,59,18,6.93,27.17,88.53,IN,1575677925
221,lata,20.43,20.43,6,0,6.71,30.78,78.62,IN,1575677926
222,portland,27.59,30,79,90,3.36,43.66,-70.25,US,1575677706
223,chimoio,63.27,63.27,99,65,2.04,-19.11,33.48,MZ,1575677927
224,miri,69.03,69.03,21,42,6.38,10.31,9.75,NG,1575677928
225,nago,35.15,42.01,93,75,4.7,45.88,10.89,IT,1575677928
226,grindavik,25.74,26.6,85,78,5.82,63.84,-22.43,IS,1575677672
227,flinders,74.91,79,40,55,6.93,-34.58,150.85,AU,1575677930
230,inirida,76.1,76.1,95,100,1.74,3.87,-67.92,CO,1575677931
231,chokurdakh,-24.5,-24.5,93,0,4.32,70.62,147.9,RU,1575677932
232,vestmanna,35.6,35.6,69,46,12.75,62.16,-7.17,FO,1575677933
233,souillac,44.98,46.4,93,90,11.41,45.6,-0.6,FR,1575677653
234,manokwari,80.74,80.74,67,99,3.27,-0.87,134.08,ID,1575677934
235,vostok,0.03,0.03,93,100,4.27,46.45,135.83,RU,1575677935
236,ambovombe,68.22,68.22,96,51,2.33,-25.18,46.09,MG,1575677935
237,nioro,71.22,71.22,27,67,8.99,13.79,-15.05,GM,1575677936
238,marawi,80.01,80.01,79,97,5.01,8,124.29,PH,1575677936
239,victoria,77,77,94,75,8.39,5.28,115.24,BN,1575677784
240,vila,35.96,39.99,40,40,1.86,45.18,8.4,IT,1575677938
241,launceston,64.2,66,34,24,12.75,-41.43,147.14,AU,1575677938
242,klaksvik,35.6,35.6,69,49,12.75,62.23,-6.59,FO,1575677939
243,parabel,15.98,15.98,91,100,14.12,58.71,81.5,RU,1575677939
244,samfya,66.25,66.25,93,100,3.02,-11.37,29.56,ZM,1575677940
245,cam ranh,84.2,84.2,23,0,2.28,-38.98,-67.82,AR,1575677941
246,harper,59.99,64,47,1,5.82,30.3,-99.24,US,1575677686
247,leshukonskoye,17.76,17.76,97,96,1.63,64.9,45.76,RU,1575677942
249,broome,45.03,46.4,87,67,11.41,52.47,1.45,GB,1575677943
250,elizabeth city,46.54,50,66,90,10.29,40.66,-74.21,US,1575677944
251,imeni babushkina,74.61,74.61,52,69,3.83,7.32,5.96,NG,1575677944
252,lompoc,60.87,63,67,75,14.99,34.64,-120.46,US,1575677945
253,kamloops,29.21,33.8,74,90,9.17,50.68,-120.34,CA,1575677946
254,bilibino,-12.53,-12.53,81,0,3.31,68.06,166.44,RU,1575677946
255,timaru,73.99,73.99,63,67,5.99,-44.39,171.25,NZ,1575677947
256,bougouni,75.13,75.13,20,20,3.47,11.42,-7.49,ML,1575677948
257,khash,49.95,49.95,51,0,4.36,28.22,61.21,IR,1575677948
258,shanhetun,3.13,3.13,90,27,6.71,44.7,127.2,CN,1575677949
259,faanui,82.42,82.42,76,3,16.42,-16.48,-151.75,PF,1575677669
260,hamilton,30.43,34,74,75,9.17,43.26,-79.87,CA,1575677678
261,loa janan,38.01,39,89,65,3.22,38.4,-111.64,US,1575677951
262,teknaf,60.69,60.69,85,11,2.01,20.86,92.31,BD,1575677735
263,sitka,39.99,39.99,64,94,5.99,37.17,-99.65,US,1575677952
264,tura,-0.69,-0.69,96,97,5.91,64.27,100.22,RU,1575677883
265,kruisfontein,60.37,60.37,97,37,3.74,-34,24.73,ZA,1575677720
266,husavik,18.37,19.99,92,92,5.99,50.56,-96.99,CA,1575677954
267,kafue,66.2,66.2,93,20,1.12,-15.74,28.18,ZM,1575677954
269,karatau,28.99,28.99,77,65,2.91,43.18,70.46,KZ,1575677955
270,thompson,8.6,8.6,84,75,3.36,55.74,-97.86,CA,1575677956
271,jawhar,69.69,69.69,42,56,3,19.91,73.23,IN,1575677957
272,orizona,70.45,70.45,93,100,4.23,-17.03,-48.3,BR,1575677957
273,nova borova,75.02,75.02,80,17,4.61,-5.53,-46.7,BR,1575677958
274,san policarpo,76.57,76.57,12,22,8.79,13.3,-4.9,ML,1575677959
275,miraflores,55.4,55.4,76,75,5.82,-16.39,-71.52,PE,1575677959
276,campo verde,48.74,52,100,75,3.36,43.71,10.48,IT,1575677960
277,vila franca do campo,35.96,39.99,40,40,1.86,45.18,8.4,IT,1575677960
279,kontagora,71.24,71.24,30,26,2.17,10.4,5.47,NG,1575677962
280,mayo,-34.6,-34.6,73,20,3.36,63.59,-135.9,CA,1575677728
281,kasama,63.57,63.57,94,100,1.72,-10.21,31.19,ZM,1575677963
282,qaanaaq,-8.18,-8.18,56,0,6.24,77.48,-69.36,GL,1575677964
283,melville,17.02,18,100,90,5.82,50.93,-102.81,CA,1575677964
284,haines junction,41.92,44.6,96,20,12.75,44.91,-117.94,US,1575677965
285,skjervoy,30.51,30.51,74,24,26.22,70.03,20.97,NO,1575677965
286,port hardy,77.11,77.11,65,100,6.6,-7.04,29.76,CD,1575677861
287,vardo,48.43,51.01,61,90,9.17,39.62,-77.74,US,1575677967
288,kyabram,68,68,28,95,9.66,-36.31,145.05,AU,1575677967
289,fuerte olimpo,73.67,73.67,81,0,7.56,17.54,120.36,PH,1575677968
290,qasigiannguit,6.8,6.8,38,19,9.17,68.82,-51.19,GL,1575677968
292,guamuchil,79.23,81,63,6,3,25.47,-108.1,MX,1575677970
293,kaitangata,66.99,66.99,48,77,10,-46.28,169.85,NZ,1575677970
294,krasnovishersk,31.62,31.62,97,100,7.76,60.4,57.08,RU,1575677971
295,provideniya,5,5,93,100,19.55,64.42,-173.23,RU,1575677972
296,sargur,60.91,60.91,98,44,5.91,11.98,76.42,IN,1575677972
297,ostrovnoy,17.15,17.15,93,100,9.33,68.05,39.51,RU,1575677973
298,chapais,10.4,10.4,85,90,4.7,49.78,-74.86,CA,1575677974
299,ancud,57.2,57.2,67,75,9.17,-41.87,-73.83,CL,1575677974
300,swift current,60.87,63,87,75,4.7,31.62,-94.48,US,1575677975
302,jimenez,68,68,70,80,4,8.54,-82.37,PA,1575677976
303,linjiang,2.1,2.1,98,97,3.06,41.81,126.91,CN,1575677977
304,ambon,51.6,53.01,93,90,8.05,47.55,-2.56,FR,1575677977
306,lokachi,28,28,83,98,9.57,50.74,24.65,UA,1575677979
307,bethel,20.7,26.6,92,90,19.46,60.79,-161.76,US,1575677979
308,upington,69.8,69.8,73,29,8.05,-28.46,21.24,ZA,1575677980
309,pisco,70.41,71.6,30,25,24.16,-13.71,-76.2,PE,1575677980
310,mehamn,28.4,28.4,86,90,12.75,71.03,27.85,NO,1575677710
311,otukpo,76.6,76.6,37,16,3.15,7.19,8.13,NG,1575677982
312,lakeside,61.02,64.99,63,75,6.91,32.86,-116.92,US,1575677982
313,boende,70.03,70.03,98,100,3.09,-0.28,20.88,CD,1575677983
315,mitake,40.62,45,60,90,3.36,35.79,139.17,JP,1575677984
317,katobu,87.91,87.91,57,94,3.09,-4.94,122.53,ID,1575677985
318,senno,39.2,39.2,86,100,13.42,57.76,27.95,RU,1575677986
319,canico,62.13,64.4,68,75,18.34,32.63,-16.85,PT,1575677987
320,kerema,92.34,92.34,49,50,2.77,-7.96,145.78,PG,1575677987
321,jackson,30.74,34,79,40,3.36,43.48,-110.76,US,1575677954
322,manggar,82.2,82.2,77,100,11.99,-2.88,108.27,ID,1575677989
323,bambous virieux,73.74,73.99,94,20,5.82,-20.26,57.41,MU,1575677989
324,wadena,12.07,12.07,86,48,4.76,51.95,-103.8,CA,1575677990
325,rongcheng,34.43,34.43,48,0,8.72,37.16,122.42,CN,1575677990
327,korgen,30.06,30.2,92,100,3.36,66.08,13.83,NO,1575677992
328,poya,75.74,75.74,83,76,13.09,-21.35,165.16,NC,1575677992
329,gao,72.54,72.54,12,100,7.58,16.28,-0.04,ML,1575677993
330,manaus,76.96,78.8,88,61,2.24,-3.13,-59.98,BR,1575677993
332,nouadhibou,64.4,64.4,82,0,18.34,20.93,-17.03,MR,1575677995
333,nipawin,6.8,6.8,92,1,5.82,53.36,-104.02,CA,1575677995
334,ulladulla,74.1,75,40,33,6.93,-35.36,150.48,AU,1575677996
335,kiunga,85.05,85.05,72,89,1.34,-6.12,141.3,PG,1575677996
337,petropavlovsk-kamchatskiy,23,23,57,0,8.95,53.05,158.65,RU,1575677998
338,prince rupert,16.74,21,92,40,6.93,52.97,-108.38,CA,1575677999
339,faya,56.32,57.2,93,1,4.7,18.39,42.45,SA,1575677999
340,alta floresta,21.61,24.01,85,97,5.82,69.97,23.27,NO,1575678000
341,talnakh,3.2,3.2,84,40,20.13,69.49,88.39,RU,1575678000
342,coloso,78.75,78.75,90,90,6.42,9.49,-75.36,CO,1575678001
343,salinopolis,81.84,81.84,81,9,17.22,-0.61,-47.36,BR,1575678002
345,meadow lake,46.36,46.99,93,75,12.75,54.18,-6.35,GB,1575678003
346,micheweni,82.72,82.72,76,70,7.43,-4.97,39.83,TZ,1575678004
347,tvedestrand,43.14,44.6,100,100,3.36,58.62,8.93,NO,1575678004
349,chumikan,-20.34,-20.34,83,31,3.91,54.72,135.31,RU,1575678005
351,boa esperanca,76.15,76.15,88,57,1.48,4.43,8.97,CM,1575678007
352,norman wells,43.3,46,70,1,8.05,35.22,-97.44,US,1575677809
353,vanimo,82.02,82.02,78,82,5.77,-2.67,141.3,PG,1575678008
354,baft,37.76,37.76,65,0,3.8,29.23,56.61,IR,1575678009
355,shieli,24.1,24.1,65,0,5.35,44.18,66.74,KZ,1575678009
